"Transactions  for account XXXX-3038 as of 02/07/2018 14:30:18 ET From 01/30/2018 to 02/07/2018"
"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount",
"02/07/2018","Sell to Close","UVXY 02/16/2018 16.00 P","PUT PROSHARES TRUST II $16 EXP 02/16/18","14","$2.20","$14.33","$3065.67",
"02/07/2018","Buy to Open","UVXY 02/16/2018 16.00 P","PUT PROSHARES TRUST II $16 EXP 02/16/18","3","$2.85","$4.45","-$859.45",
"02/07/2018","Buy to Open","UVXY 02/16/2018 16.00 P","PUT PROSHARES TRUST II $16 EXP 02/16/18","3","$2.85","$4.46","-$859.46",
"02/07/2018","Sell","BRZU","DIREXION DAILY BRAZIL BULL 3X SHS NEW","50","$52.2568","$5.01","$2607.83",
"02/06/2018","Buy to Open","UVXY 02/16/2018 16.00 P","PUT PROSHARES TRUST II $16 EXP 02/16/18","8","$4.00","$10.28","-$3210.28",
"02/06/2018","Sell to Close","SPY 02/07/2018 278.00 C","CALL SPDR S&P 500 $278 EXP 02/07/18","1","$0.04","$0.98","$3.02",
"02/06/2018","Sell to Close","SPY 02/07/2018 278.00 C","CALL SPDR S&P 500 $278 EXP 02/07/18","14","$0.04","$13.93","$42.07",
"02/06/2018","Sell","SVXY","PROSHARES SHORT VIX SHORT TERM ETF","250","$12.0426","$5.02","$3005.63",
"02/06/2018","Sell to Close","UVXY 02/09/2018 21.00 P","PUT PROSHARES TRUST II $21 EXP 02/09/18","3","$6.90","$6.98","$2063.02",
"02/06/2018","Buy","BRZU","DIREXION DAILY BRAZIL BULL 3X SHS NEW","50","$54.7868","$4.95","-$2744.29",
"02/06/2018","Buy to Open","UVXY 02/09/2018 21.00 P","PUT PROSHARES TRUST II $21 EXP 02/09/18","3","$3.60","$6.93","-$1086.93",
"02/06/2018","Buy","SVXY","PROSHARES SHORT VIX SHORT TERM ETF","250","$11.53","$4.95","-$2887.45",
"02/05/2018","Sell to Close","UVXY 02/16/2018 12.00 P","PUT PROSHARES TRUST II $12 EXP 02/16/18","71","$0.60","$52.21","$4207.79",
"02/05/2018","Buy to Open","SPY 02/07/2018 278.00 C","CALL SPDR S&P 500 $278 EXP 02/07/18","15","$0.20","$14.94","-$314.94",
"02/05/2018 as of 02/02/2018","Expired","UVXY 02/02/2018 13.00 P","PUT PROSHARES TRUST II $13 EXP 02/02/18","-8","","","",
"02/05/2018","MoneyLink Transfer","","Tfr BANK OF AMERICA, N, CHENLIN YE","","","","$3000.00",
"02/02/2018","Buy to Open","UVXY 02/02/2018 13.00 P","PUT PROSHARES TRUST II $13 EXP 02/02/18","3","$0.10","$3.84","-$33.84",
"02/02/2018","Buy to Open","UVXY 02/02/2018 13.00 P","PUT PROSHARES TRUST II $13 EXP 02/02/18","5","$0.10","$6.42","-$56.42",
"02/02/2018","Buy to Open","UVXY 02/16/2018 12.00 P","PUT PROSHARES TRUST II $12 EXP 02/16/18","5","$1.32","$5.58","-$665.58",
"02/02/2018","Buy to Open","UVXY 02/16/2018 12.00 P","PUT PROSHARES TRUST II $12 EXP 02/16/18","6","$1.32","$6.70","-$798.70",
"02/02/2018","Sell to Close","UVXY 02/02/2018 12.00 P","PUT PROSHARES TRUST II $12 EXP 02/02/18","100","$0.09","$71.51","$828.49",
"02/02/2018","Buy to Open","UVXY 02/16/2018 12.00 P","PUT PROSHARES TRUST II $12 EXP 02/16/18","60","$1.57","$44.88","-$9464.88",
"02/02/2018","Buy to Open","UVXY 02/02/2018 12.00 P","PUT PROSHARES TRUST II $12 EXP 02/02/18","100","$0.33","$71.51","-$3371.51",
"01/31/2018","Sell to Close","UVXY 02/02/2018 12.50 C","CALL PROSHARES TRUST II $12.5 EXP 02/02/18","60","$0.28","$44.88","$1635.12",
"01/31/2018","Buy to Close","UVXY 02/02/2018 9.50 C","CALL PROSHARES TRUST II $9.5 EXP 02/02/18","60","$2.11","$44.88","-$12704.88",
"01/31/2018","Buy","UVXY","PROSHARES ULTRA VIX SHORT TERM FUTURES ETF NEW JULY 2017","500","$12.12","$4.95","-$6064.95",
"01/31/2018","Sell to Close","UVXY 02/02/2018 12.50 C","CALL PROSHARES TRUST II $12.5 EXP 02/02/18","50","$0.50","$38.24","$2461.76",
"01/31/2018","Sell to Close","UVXY 02/02/2018 11.50 P","PUT PROSHARES TRUST II $11.5 EXP 02/02/18","6","$0.63","$5.98","$372.02",
"01/31/2018","Sell to Close","UVXY 02/02/2018 11.50 P","PUT PROSHARES TRUST II $11.5 EXP 02/02/18","4","$0.63","$3.99","$248.01",
"01/31/2018","Sell to Close","UVXY 02/02/2018 11.50 P","PUT PROSHARES TRUST II $11.5 EXP 02/02/18","5","$0.63","$4.98","$310.02",
"01/31/2018","Buy","UVXY","PROSHARES ULTRA VIX SHORT TERM FUTURES ETF NEW JULY 2017","500","$11.43","$4.95","-$5719.95",
"01/31/2018","Buy","UVXY","PROSHARES ULTRA VIX SHORT TERM FUTURES ETF NEW JULY 2017","1000","$11.5962","$4.95","-$11601.15",
"01/31/2018","Buy","UVXY","PROSHARES ULTRA VIX SHORT TERM FUTURES ETF NEW JULY 2017","3000","$11.7799","$4.95","-$35344.65",
"01/31/2018 as of 01/30/2018","Assigned","UVXY 02/02/2018 9.50 C","CALL PROSHARES TRUST II $9.5 EXP 02/02/18","50","","","",
"01/31/2018 as of 01/30/2018","Sell Short","UVXY","PROSHARES ULTRA VIX SHORT TERM FUTURES ETF NEW JULY 2017","5000","$9.50","$6.05","$47493.95",
"01/30/2018","Buy to Open","UVXY 02/02/2018 11.50 P","PUT PROSHARES TRUST II $11.5 EXP 02/02/18","15","$0.52","$14.99","-$794.99",
